CAD_1279	 CAD_1247	 CAD_763	 CAD_1284	 CAD_730	 CAD_1419	 CAD_560	 CAD_1392	 CAD_1701	 CAD_1468	 CAD_1090	 CAD_1281	 CAD_1733	 CAD_240	 CAD_968	 CAD_945	 CAD_928	 CAD_1476	 CAD_270	 CAD_447	 CAD_1714	 CAD_437	 CAD_1288	 CAD_1474	 CAD_389	 CAD_989	 CAD_1785	 CAD_1390	 CAD_1976	 CAD_563	 CAD_2306	 CAD_221	 CAD_1213	 CAD_594	 CAD_1541	 CAD_1427	 CAD_2207	 CAD_1235	 CAD_1694	 CAD_1251	 CAD_2218	 CAD_121	 CAD_1211	 CAD_1473	 CAD_499	 CAD_982	 CAD_2196	 CAD_70	 CAD_10	 CAD_1984	 CAD_565	 CAD_916	 CAD_2149	 CAD_272	 CAD_2097	 CAD_2163	 CAD_1980	 CAD_853	 CAD_413	 CAD_2157	 CAD_18	 CAD_894	 CAD_691	 CAD_1897	 CAD_1543	 CAD_782	 CAD_742	 CAD_1647	 CAD_2101	 CAD_153	 CAD_2310	 CAD_1231	 CAD_1961	 CAD_933	 CAD_745	 CAD_2307	 CAD_886	 CAD_1574	 CAD_493	 CAD_2063	 CAD_1515	 CAD_1539	 CAD_1016	 CAD_1758	 CAD_187	 CAD_290	 CAD_2125	 CAD_1782	 CAD_1831	 CAD_2022	 CAD_257	 CAD_117	 CAD_1089	 CAD_144	 CAD_52	 CAD_1905	 CAD_34	 CAD_498	 CAD_1469	 CAD_304	 CAD_1628	 CAD_1129	 CAD_852	 CAD_402	 CAD_762	 CAD_2234	 CAD_1859	 CAD_1418	 CAD_366	 CAD_462	 CAD_472	 CAD_2219	 CAD_1598	 CAD_768	 CAD_1417	 CAD_262	 CAD_307	 CAD_13	 CAD_519	 CAD_513	 CAD_1595	 CAD_57	 CAD_633	 CAD_1958	 CAD_674	 CAD_2337	 CAD_1665	 CAD_233	 CAD_1581	 CAD_359	 CAD_1680	 CAD_450	 CAD_1214	 CAD_2136	 CAD_487	 CAD_296	 CAD_1139	 CAD_1205	 CAD_1094	 CAD_1662	 CAD_1442	 CAD_1593	 CAD_496	 CAD_1928	 CAD_1747	 CAD_1807	 CAD_520	 CAD_1331	 CAD_1405	 CAD_1103	 CAD_2274	 CAD_1512	 CAD_578	 CAD_1099	 CAD_1484	 CAD_1888	 CAD_675	 CAD_357	 CAD_1045	 CAD_1168	 CAD_1731	 CAD_207	 CAD_1953	 CAD_1408	 CAD_2284	 CAD_2079	 CAD_1157	 CAD_1140	 CAD_2075	 CAD_1122	 CAD_1507	 CAD_929	 CAD_43	 CAD_1340	 CAD_549	 CAD_235	 CAD_82	 CAD_952	 CAD_1929	 CAD_649	 CAD_688	 CAD_2160	 CAD_1164	 CAD_1752	 CAD_1262	 CAD_1950	 CAD_322	 CAD_143	 CAD_1406	 CAD_1633	 CAD_53	 CAD_1766	 CAD_943	 CAD_830	 CAD_1031	 CAD_2001	 CAD_488	 CAD_1882	 CAD_2158	 CAD_434	 CAD_22	 CAD_1901	 CAD_132	 CAD_1503	 CAD_295	 CAD_747	 CAD_586	 CAD_1098	 CAD_379	 CAD_669	 CAD_796	 CAD_514	 CAD_1743	 CAD_1040	 CAD_192	 CAD_531	 CAD_191
4.165	 1578200	 1501000	 1920800	 1815900	 1357700	 761300	 1547800	 1574600	 1865200	 1491500	 1808500	 1681000	 1734300	 1671600	 1244300	 1577000	 1665100	 1396000	 2038900	 992810	 936090	 694840	 1670100	 2085900	 2520500	 2818500	 1370800	 3235500	 1974000	 2107100	 1318300	 1433500	 1966600	 1856000	 1923600	 1759700	 1194500	 1907200	 1581200	 1962400	 2630800	 2017800	 1626700	 1862300	 1617200	 1867300	 2024300	 1774900	 2498800	 2021200	 2606800	 2402100	 1770600	 3045900	 2307100	 2011200	 1597300	 1518000	 1486800	 947560	 2522900	 1617300	 2079400	 2307700	 1733900	 2790500	 1613200	 1644300	 2402000	 2741600	 1851900	 2027700	 1722400	 2421100	 2195800	 1097800	 2409500	 1581100	 1767100	 1711600	 1742700	 1930200	 1819700	 1336300	 1419500	 1126200	 2028200	 2353600	 1741800	 2025900	 2037100	 1714800	 2439500	 1890000	 1389500	 1957700	 1671900	 2140700	 1222100	 1731600	 2280300	 2495000	 1840300	 1398100	 2397300	 1996600	 1813500	 2983300	 1909100	 2220500	 1847700	 1277500	 1524300	 1918000	 2144600	 1494100	 1530400	 1370700	 1493600	 1974000	 2171100	 1166900	 1316500	 1691900	 2319800	 1982200	 1360500	 2470500	 1585100	 1587600	 1544900	 1372800	 1664900	 1495300	 1605000	 1507400	 2034100	 1672900	 1715600	 1577000	 1565900	 1937900	 2363300	 970530	 2211400	 2837500	 2533000	 1666800	 1796200	 2179800	 1960500	 2411200	 1857900	 1668600	 2114700	 2328600	 2460900	 2465300	 1416300	 2161500	 1653900	 2067600	 1590700	 1894200	 1111300	 1505000	 2469500	 2609400	 1307200	 2680200	 1549100	 1315700	 2296400	 1852100	 1817700	 1891100	 2698500	 2041100	 1110700	 2108600	 2017600	 1553000	 2722200	 2911900	 2538500	 1300000	 2349800	 2170700	 1776300	 2146300	 2524600	 1905700	 3061700	 2121900	 3469900	 2311300	 2176500	 2739700	 1656700	 2253300	 2295100	 2022800	 2402700	 2348900	 3145100	 2523300	 1222900	 1922900	 2311700	 1975800	 1530700	 2104100	 2715900	 3069700	 1679300	 1789600	 1214000
4.1656	 1573400	 1501100	 1917000	 1816000	 1361000	 753340	 1538000	 1568200	 1861500	 1487300	 1803400	 1680200	 1739000	 1666500	 1245700	 1577200	 1659800	 1398000	 2019200	 992200	 946930	 693910	 1668100	 2081600	 2521500	 2837600	 1374900	 3230900	 1978600	 2110900	 1313600	 1427400	 1964800	 1852000	 1914300	 1748500	 1193300	 1900400	 1589800	 1951700	 2621000	 2021500	 1630500	 1868200	 1624600	 1860400	 2014100	 1763100	 2495800	 2009700	 2602700	 2405400	 1760400	 3036000	 2304000	 2003600	 1606000	 1509600	 1479300	 957630	 2512400	 1598700	 2076200	 2306800	 1729500	 2780300	 1617200	 1635700	 2399900	 2745300	 1839900	 2027300	 1711400	 2407900	 2185700	 1104800	 2405500	 1587200	 1762000	 1700500	 1731000	 1925900	 1816300	 1339900	 1414800	 1129700	 2023000	 2352500	 1733200	 2021700	 2033400	 1713400	 2434200	 1877600	 1381900	 1955000	 1660700	 2136000	 1225200	 1740000	 2274300	 2487700	 1832200	 1401400	 2386000	 1990200	 1799900	 2989200	 1910300	 2226000	 1841600	 1269200	 1522400	 1915900	 2139500	 1499900	 1528300	 1359800	 1487800	 1970500	 2173200	 1172700	 1308800	 1685300	 2313600	 1994200	 1362300	 2464900	 1578700	 1589400	 1541600	 1368200	 1654000	 1497000	 1604200	 1499200	 2025400	 1672500	 1694600	 1561300	 1559500	 1935400	 2365400	 970100	 2197900	 2832500	 2525600	 1676000	 1795800	 2173200	 1956600	 2412700	 1855400	 1666800	 2119300	 2321900	 2456700	 2464800	 1409400	 2149000	 1635300	 2065900	 1586200	 1893000	 1103300	 1503800	 2465500	 2602100	 1300200	 2668700	 1545900	 1307900	 2294100	 1834300	 1807900	 1883600	 2694100	 2037700	 1117900	 2102900	 2018500	 1547000	 2707700	 2904400	 2530500	 1308100	 2353200	 2162700	 1769000	 2165200	 2519200	 1895900	 3056600	 2124100	 3456100	 2304700	 2177100	 2744200	 1653600	 2242800	 2286800	 2026700	 2393300	 2346500	 3128700	 2516700	 1221400	 1917600	 2305700	 1984800	 1542900	 2083200	 2724400	 3070200	 1671700	 1784000	 1214700
4.1662	 1573800	 1503000	 1910100	 1819800	 1361300	 748460	 1546400	 1568400	 1863100	 1476600	 1794300	 1686400	 1742200	 1658200	 1248300	 1566900	 1653100	 1396600	 2003000	 996230	 951980	 687950	 1662600	 2078100	 2522300	 2847200	 1376800	 3217200	 1968900	 2109600	 1308900	 1423900	 1954700	 1839700	 1900300	 1739000	 1189200	 1889400	 1596100	 1942300	 2612300	 2015200	 1638300	 1873400	 1620700	 1854800	 2007200	 1750900	 2493500	 2003100	 2596400	 2408100	 1748300	 3040200	 2297800	 1997100	 1599600	 1502400	 1465800	 959420	 2508700	 1586400	 2065500	 2303200	 1729700	 2764900	 1620700	 1615300	 2396400	 2733200	 1833500	 2024100	 1702200	 2398500	 2175800	 1106000	 2392300	 1593000	 1747800	 1687000	 1720600	 1922400	 1808700	 1340400	 1405700	 1135000	 2015200	 2343900	 1728300	 2001900	 2026500	 1710400	 2428000	 1868800	 1376400	 1948600	 1651700	 2133700	 1225200	 1744700	 2274400	 2476600	 1816900	 1404000	 2383800	 1986200	 1795800	 2983600	 1909400	 2230000	 1836500	 1259600	 1516700	 1909200	 2134200	 1504900	 1525800	 1360900	 1484800	 1972800	 2170700	 1178400	 1300800	 1676600	 2303000	 1991900	 1367100	 2456800	 1574100	 1576900	 1530300	 1362900	 1648500	 1501500	 1597500	 1491400	 2024100	 1670200	 1677000	 1548600	 1552700	 1931700	 2365900	 971090	 2188800	 2826600	 2522900	 1677500	 1795000	 2172200	 1952300	 2410700	 1861300	 1660600	 2121200	 2310800	 2449000	 2459800	 1406700	 2137100	 1625100	 2063200	 1582900	 1880700	 1103400	 1503400	 2461400	 2589200	 1292900	 2658600	 1536000	 1302500	 2295200	 1823000	 1799100	 1869700	 2692600	 2028000	 1118000	 2102600	 2021700	 1543700	 2696600	 2906200	 2518800	 1319900	 2349700	 2164600	 1757200	 2192500	 2514300	 1884700	 3046900	 2122200	 3439100	 2295600	 2169000	 2744900	 1644100	 2236500	 2278500	 2033500	 2394200	 2339600	 3109800	 2509800	 1219400	 1912700	 2304000	 1994100	 1555400	 2065900	 2723300	 3063800	 1665500	 1775000	 1217300
4.1667	 1564900	 1514600	 1897700	 1825200	 1360100	 749910	 1560000	 1565600	 1870900	 1468000	 1784300	 1681900	 1738400	 1653900	 1241700	 1558600	 1644900	 1388800	 1999200	 1000700	 953560	 682550	 1648100	 2073000	 2513300	 2835700	 1374500	 3193800	 1962800	 2106500	 1294100	 1422600	 1936800	 1823600	 1884600	 1730800	 1181000	 1871600	 1593500	 1935900	 2607400	 1997100	 1643500	 1869500	 1606800	 1848500	 1997100	 1742500	 2490200	 2003700	 2588300	 2411300	 1740000	 3054500	 2288000	 1993300	 1593200	 1501100	 1449000	 948050	 2505600	 1578500	 2057300	 2294700	 1724700	 2746900	 1618800	 1595800	 2390300	 2712300	 1830600	 2017100	 1696000	 2393200	 2166600	 1098600	 2376400	 1594100	 1738100	 1674900	 1712000	 1916500	 1805400	 1337000	 1398000	 1134700	 1999400	 2329500	 1726400	 1983000	 2009300	 1703700	 2416900	 1870400	 1368000	 1938500	 1651100	 2123900	 1221900	 1740200	 2274600	 2466100	 1805700	 1400100	 2385600	 1975000	 1800700	 2966200	 1909800	 2222100	 1830500	 1254400	 1507700	 1903800	 2127000	 1506700	 1527700	 1371400	 1481700	 1970500	 2166300	 1171800	 1283000	 1671300	 2297600	 1978400	 1369000	 2449100	 1565600	 1562400	 1517600	 1361500	 1640900	 1500400	 1591900	 1488200	 2021500	 1665100	 1663400	 1543100	 1542700	 1925500	 2363200	 977140	 2181600	 2819000	 2517500	 1677000	 1794500	 2173600	 1952500	 2415600	 1869800	 1652000	 2115200	 2298500	 2434300	 2450500	 1406800	 2123700	 1623300	 2060600	 1576100	 1865500	 1107100	 1501200	 2449600	 2580200	 1288600	 2646700	 1524800	 1299000	 2302300	 1819000	 1792700	 1857700	 2688600	 2013700	 1110800	 2101100	 2024000	 1543600	 2685100	 2911600	 2508700	 1321200	 2347700	 2171100	 1750600	 2223300	 2506000	 1875400	 3033400	 2115000	 3422600	 2291600	 2167400	 2738600	 1633600	 2231100	 2270600	 2031100	 2402800	 2327100	 3091300	 2509100	 1211900	 1909200	 2299400	 1988700	 1552500	 2058300	 2718200	 3054800	 1669600	 1771100	 1217400
4.1673	 1550400	 1523500	 1893400	 1824800	 1359100	 747030	 1570000	 1559200	 1877400	 1469500	 1777400	 1669800	 1730300	 1653200	 1230300	 1553200	 1635400	 1382000	 2006300	 1005200	 953220	 671920	 1623800	 2064500	 2503200	 2807700	 1367600	 3172400	 1959800	 2104200	 1271200	 1414700	 1921300	 1807300	 1871600	 1726200	 1175100	 1850700	 1581000	 1930100	 2604900	 1979400	 1642200	 1862100	 1599000	 1838900	 1984600	 1730900	 2486700	 1998700	 2579200	 2413900	 1733000	 3074200	 2281500	 1986600	 1585200	 1500700	 1440400	 937630	 2502000	 1575200	 2052800	 2286200	 1716400	 2737000	 1608400	 1586800	 2386800	 2692500	 1830600	 2007200	 1692200	 2385800	 2153600	 1090000	 2358000	 1593600	 1733900	 1668400	 1702200	 1910000	 1801300	 1330900	 1400500	 1130200	 1978500	 2321400	 1725800	 1971300	 1996200	 1697400	 2405500	 1869900	 1353600	 1924100	 1639600	 2117300	 1219800	 1729700	 2274800	 2459200	 1800400	 1394300	 2385200	 1957800	 1801800	 2947200	 1906100	 2211000	 1826500	 1246500	 1504000	 1903700	 2124100	 1509400	 1527400	 1377200	 1473200	 1965000	 2166300	 1158300	 1261700	 1671500	 2296400	 1962100	 1354800	 2443600	 1560100	 1557200	 1516200	 1355500	 1639000	 1487200	 1587000	 1484200	 2020700	 1660200	 1654000	 1539800	 1535000	 1924500	 2354600	 975690	 2170100	 2813900	 2514900	 1670300	 1795400	 2171200	 1954900	 2419700	 1880100	 1644300	 2099300	 2283400	 2421300	 2434800	 1403200	 2112200	 1618500	 2053500	 1561700	 1852300	 1105200	 1487100	 2439000	 2573000	 1286600	 2636500	 1520900	 1296300	 2299800	 1813800	 1800000	 1845000	 2678700	 1999400	 1094400	 2093500	 2016000	 1544900	 2677400	 2914800	 2505700	 1310000	 2350400	 2172000	 1752000	 2237000	 2494300	 1870100	 3028900	 2110700	 3411400	 2289900	 2163900	 2730200	 1623300	 2224500	 2262200	 2013900	 2402500	 2312800	 3076100	 2501600	 1207600	 1898400	 2294000	 1976800	 1544300	 2058800	 2705100	 3050000	 1665900	 1773500	 1209900
4.1678	 1542200	 1525800	 1892500	 1819900	 1357200	 745970	 1572100	 1558800	 1881100	 1473000	 1774000	 1666100	 1720800	 1652100	 1224800	 1542600	 1626800	 1377300	 2022400	 1002100	 950060	 664220	 1604700	 2059300	 2492700	 2781600	 1349400	 3162900	 1953600	 2104600	 1259500	 1406100	 1917200	 1796300	 1860100	 1723800	 1174000	 1835500	 1573700	 1923300	 2597300	 1965900	 1638500	 1851600	 1592300	 1829900	 1980400	 1719200	 2476500	 1987300	 2572400	 2415400	 1727700	 3091500	 2272300	 1974300	 1574600	 1497900	 1436700	 925830	 2497400	 1572800	 2041600	 2282200	 1709700	 2730100	 1596100	 1583500	 2382800	 2686600	 1824800	 2001900	 1685200	 2381200	 2142800	 1083400	 2349500	 1591900	 1731800	 1667700	 1692600	 1905300	 1790400	 1325200	 1403900	 1126300	 1962300	 2309800	 1722100	 1955900	 1989500	 1694300	 2405400	 1859500	 1340000	 1913300	 1623600	 2110800	 1215800	 1719400	 2270100	 2452200	 1795100	 1389800	 2383100	 1944500	 1792300	 2930700	 1897400	 2210300	 1828500	 1235300	 1502200	 1898900	 2128100	 1508700	 1513800	 1376800	 1465300	 1964000	 2162900	 1149800	 1248800	 1675500	 2290500	 1944400	 1340300	 2441400	 1554600	 1558000	 1521900	 1345400	 1637800	 1470900	 1575700	 1476500	 2018800	 1659000	 1650100	 1540000	 1528600	 1922200	 2349200	 967540	 2155300	 2809400	 2510600	 1652900	 1791100	 2165500	 1958800	 2412100	 1889700	 1636600	 2085300	 2276800	 2409500	 2420800	 1395000	 2104000	 1614400	 2037700	 1549800	 1841300	 1093900	 1472100	 2432500	 2572600	 1280000	 2630300	 1520400	 1292800	 2287100	 1810500	 1807700	 1832000	 2667000	 1994600	 1086600	 2084000	 2003200	 1543000	 2668000	 2910000	 2505400	 1292300	 2351800	 2172600	 1750500	 2216900	 2485500	 1869800	 3026100	 2113700	 3401700	 2290500	 2152900	 2721000	 1612200	 2215300	 2255600	 1991100	 2391700	 2309400	 3057500	 2496100	 1211100	 1878900	 2286700	 1961700	 1542100	 2059200	 2686300	 3046700	 1657900	 1773800	 1201700
4.1684	 1542800	 1523700	 1889300	 1813400	 1347100	 739980	 1571400	 1564700	 1881200	 1471500	 1777200	 1662100	 1716400	 1644800	 1224800	 1529400	 1617700	 1367600	 2040500	 984480	 935090	 664470	 1593900	 2053000	 2485700	 2757800	 1325700	 3160900	 1946700	 2109600	 1257100	 1402300	 1916400	 1795000	 1850700	 1722700	 1174500	 1823400	 1567600	 1914900	 2583400	 1951100	 1634000	 1841600	 1585400	 1820100	 1978800	 1708000	 2464300	 1974600	 2564600	 2413800	 1725300	 3101900	 2264100	 1965900	 1566700	 1500800	 1434700	 912840	 2488000	 1566600	 2026800	 2272400	 1701000	 2722400	 1584000	 1585400	 2377000	 2689800	 1814800	 1997200	 1672800	 2377600	 2136600	 1075000	 2351500	 1581400	 1728600	 1666000	 1682400	 1908600	 1778800	 1316900	 1402600	 1123800	 1958500	 2297300	 1710100	 1936400	 1979800	 1690200	 2406300	 1841200	 1333000	 1917900	 1618200	 2107600	 1210300	 1703000	 2255100	 2446800	 1787000	 1388300	 2383200	 1935700	 1786600	 2921200	 1884400	 2208800	 1827400	 1233300	 1496200	 1889000	 2132100	 1503300	 1499900	 1375500	 1457900	 1955300	 2150000	 1146100	 1248400	 1678200	 2278200	 1931200	 1329900	 2436800	 1548300	 1556000	 1526200	 1334200	 1629100	 1459900	 1563900	 1467700	 2010900	 1653400	 1651700	 1541300	 1521800	 1915300	 2349600	 959490	 2141800	 2795100	 2496100	 1642800	 1787400	 2166100	 1962100	 2398700	 1888700	 1635800	 2072600	 2271800	 2393700	 2415500	 1388000	 2090900	 1604900	 2020500	 1551500	 1830600	 1076900	 1466200	 2430200	 2580400	 1271300	 2621900	 1513100	 1294600	 2276200	 1807100	 1803400	 1820300	 2663800	 1992200	 1081900	 2076000	 1989100	 1537000	 2651000	 2907100	 2496900	 1273300	 2347300	 2167400	 1739400	 2180100	 2479200	 1869800	 3017200	 2113700	 3391000	 2288800	 2143800	 2716600	 1602800	 2198800	 2252700	 1979300	 2377400	 2314900	 3041500	 2492700	 1211200	 1870600	 2279600	 1951200	 1537100	 2048600	 2666400	 3030100	 1653000	 1769500	 1197200
4.1689	 1541300	 1511900	 1886000	 1805500	 1333600	 730310	 1569400	 1568300	 1876100	 1469300	 1769800	 1653600	 1717000	 1642200	 1227200	 1519500	 1614000	 1356900	 2053700	 965120	 915940	 661410	 1581900	 2042700	 2482700	 2733400	 1310800	 3150000	 1938400	 2112400	 1256200	 1394000	 1907600	 1791200	 1843300	 1725500	 1176000	 1819200	 1564100	 1911600	 2572000	 1935200	 1633000	 1831100	 1578300	 1816600	 1975200	 1700200	 2459300	 1966100	 2557800	 2405200	 1715700	 3100200	 2255600	 1954300	 1558400	 1508900	 1434800	 903140	 2473200	 1558400	 2017400	 2259900	 1690400	 2714300	 1581100	 1587600	 2363500	 2685100	 1802300	 1988800	 1661900	 2372000	 2125600	 1063900	 2350300	 1565300	 1720200	 1667400	 1670300	 1909400	 1767900	 1302800	 1398000	 1117400	 1956800	 2289800	 1696200	 1920900	 1973100	 1685300	 2402400	 1824000	 1326800	 1917900	 1619600	 2105200	 1199900	 1693600	 2240500	 2443300	 1786400	 1380100	 2381500	 1922200	 1791600	 2913200	 1868800	 2198400	 1822500	 1243200	 1483200	 1881900	 2136700	 1496200	 1498300	 1364900	 1453700	 1938400	 2135100	 1144100	 1251800	 1680700	 2270700	 1922100	 1319500	 2429400	 1545900	 1550300	 1521800	 1323400	 1622000	 1454100	 1557600	 1460600	 2005600	 1639400	 1653500	 1542400	 1517600	 1911000	 2342800	 948940	 2134100	 2778200	 2489000	 1644100	 1785800	 2161600	 1957800	 2388700	 1874900	 1634500	 2054200	 2264500	 2382300	 2413100	 1380000	 2075800	 1586300	 2008800	 1554700	 1819200	 1057300	 1458800	 2427000	 2585400	 1262100	 2608100	 1507700	 1292600	 2267300	 1807800	 1795100	 1816200	 2659300	 1984300	 1080400	 2070400	 1973300	 1532600	 2634700	 2904000	 2489300	 1255600	 2340100	 2156000	 1727500	 2148300	 2475000	 1863800	 3009500	 2105900	 3384000	 2279000	 2132800	 2712300	 1598900	 2188900	 2250900	 1972900	 2362600	 2318800	 3041000	 2485000	 1203600	 1863200	 2277400	 1942000	 1524900	 2040600	 2648900	 3012800	 1651600	 1761400	 1187500
4.1695	 1532100	 1495200	 1873400	 1799100	 1322400	 722680	 1565000	 1567600	 1869900	 1466300	 1765100	 1649600	 1721600	 1645800	 1224900	 1513000	 1613000	 1344600	 2055200	 947470	 910240	 650930	 1566300	 2041400	 2481500	 2710100	 1303200	 3140500	 1934100	 2109300	 1260000	 1383300	 1896900	 1782300	 1838300	 1728100	 1179000	 1816000	 1564700	 1912100	 2561000	 1921700	 1629600	 1816300	 1574200	 1824800	 1968400	 1696900	 2456500	 1960200	 2557000	 2393100	 1708400	 3091200	 2245600	 1940400	 1550700	 1510700	 1433500	 898140	 2459500	 1556900	 2011500	 2254500	 1684100	 2705000	 1577800	 1584300	 2346200	 2670800	 1793500	 1981800	 1659600	 2368600	 2114400	 1058700	 2348500	 1550900	 1710800	 1666700	 1658100	 1907900	 1759200	 1288800	 1394000	 1106200	 1961300	 2284300	 1688000	 1911400	 1974600	 1680600	 2397700	 1812900	 1322100	 1904500	 1626200	 2102300	 1188200	 1688000	 2231800	 2441500	 1787300	 1370600	 2370800	 1905200	 1797300	 2906300	 1856500	 2191000	 1821500	 1243100	 1469800	 1876300	 2135300	 1491600	 1493700	 1354600	 1449100	 1923700	 2128500	 1141400	 1252600	 1677300	 2266500	 1920000	 1301400	 2410400	 1550500	 1544400	 1515900	 1313200	 1621100	 1451800	 1554800	 1453800	 1998700	 1632400	 1657300	 1541500	 1516700	 1907700	 2330100	 939230	 2127200	 2766600	 2485100	 1640100	 1783300	 2153700	 1950100	 2388400	 1856800	 1617800	 2032400	 2255600	 2373900	 2411200	 1369500	 2064800	 1576600	 2001000	 1554000	 1810300	 1039800	 1448200	 2420500	 2585900	 1253100	 2596400	 1503900	 1290300	 2261300	 1806200	 1791300	 1817700	 2653700	 1977700	 1089100	 2065600	 1960900	 1531300	 2627500	 2898900	 2482900	 1241200	 2333300	 2148900	 1717700	 2116700	 2469300	 1851500	 3006500	 2100200	 3372500	 2271000	 2122300	 2707300	 1596100	 2187400	 2242300	 1962200	 2349600	 2308000	 3041700	 2477300	 1198300	 1853700	 2278500	 1926100	 1511300	 2038200	 2631200	 3007000	 1646200	 1742800	 1170400
4.17	 1519600	 1477900	 1857000	 1791100	 1317600	 717590	 1560600	 1563900	 1858100	 1459400	 1761800	 1653100	 1718700	 1640600	 1214400	 1512300	 1614300	 1339400	 2042300	 936800	 908180	 642720	 1551300	 2046700	 2475000	 2688100	 1297500	 3134900	 1935400	 2109900	 1268600	 1381600	 1892900	 1777400	 1839400	 1724200	 1183000	 1810000	 1555000	 1910200	 2548800	 1909900	 1622200	 1809500	 1573200	 1834400	 1960900	 1700600	 2450100	 1958100	 2559200	 2383400	 1706300	 3081200	 2236100	 1938000	 1535400	 1502500	 1426100	 898180	 2450400	 1559500	 2004900	 2256200	 1680200	 2699000	 1567600	 1579400	 2333400	 2660500	 1793700	 1975400	 1662400	 2366100	 2111000	 1062100	 2345200	 1536400	 1700600	 1657300	 1650500	 1906300	 1759500	 1281100	 1390500	 1095000	 1965400	 2280000	 1686200	 1905700	 1977900	 1674900	 2396700	 1803800	 1319800	 1893100	 1628800	 2091800	 1184000	 1682300	 2227500	 2437900	 1780400	 1371200	 2357100	 1898500	 1797300	 2902900	 1849300	 2186200	 1822400	 1231000	 1464000	 1868200	 2130900	 1484800	 1487900	 1348000	 1440700	 1916800	 2123200	 1142400	 1252000	 1667100	 2262300	 1922200	 1286200	 2392200	 1550400	 1539300	 1511100	 1307900	 1616800	 1453900	 1551600	 1448100	 1991200	 1631800	 1656900	 1537500	 1510800	 1895900	 2318900	 938630	 2121600	 2761500	 2484000	 1630500	 1779800	 2146500	 1938600	 2392600	 1846900	 1606900	 2020800	 2243600	 2367900	 2414000	 1355000	 2063200	 1577200	 1986200	 1549000	 1800400	 1023300	 1440500	 2409200	 2578100	 1249700	 2590800	 1497800	 1290000	 2255700	 1804300	 1787200	 1811900	 2646700	 1971300	 1098200	 2060200	 1953400	 1529700	 2619600	 2892400	 2476400	 1236500	 2336400	 2148400	 1716100	 2081500	 2463000	 1844500	 2987200	 2093300	 3359600	 2262100	 2114400	 2700800	 1587700	 2184100	 2236200	 1959400	 2341600	 2291600	 3035500	 2473900	 1191900	 1850700	 2276900	 1912900	 1496700	 2035900	 2616700	 3007000	 1641300	 1726900	 1150700
4.1706	 1513300	 1466800	 1849300	 1781700	 1311800	 712030	 1555400	 1559100	 1841300	 1453900	 1759800	 1653300	 1702100	 1629600	 1199200	 1517000	 1607400	 1340800	 2015100	 930570	 900820	 635980	 1542200	 2048600	 2463100	 2669600	 1296800	 3128800	 1933600	 2100200	 1271400	 1388000	 1894400	 1780300	 1834700	 1722300	 1180600	 1802300	 1539600	 1900200	 2544500	 1903200	 1614200	 1805200	 1575300	 1834700	 1955200	 1703000	 2440800	 1955800	 2557200	 2374300	 1708600	 3076900	 2235300	 1939200	 1527500	 1488900	 1417700	 908940	 2444700	 1559200	 2002200	 2257300	 1678100	 2691800	 1558700	 1572300	 2326300	 2656200	 1796900	 1964300	 1661100	 2367400	 2110800	 1064300	 2339000	 1530300	 1694000	 1643900	 1648500	 1899700	 1768700	 1279900	 1387900	 1088900	 1961600	 2275400	 1684800	 1904500	 1975400	 1666100	 2394500	 1798200	 1315000	 1892300	 1625200	 2085500	 1179600	 1683000	 2222600	 2434100	 1771000	 1378000	 2357000	 1894500	 1787300	 2897800	 1843900	 2180000	 1820500	 1220600	 1461000	 1868300	 2127700	 1478900	 1484900	 1340700	 1433500	 1914900	 2117100	 1144000	 1240200	 1664100	 2258800	 1918600	 1278900	 2377800	 1544200	 1534400	 1507100	 1304100	 1618000	 1450600	 1548700	 1447100	 1985500	 1630600	 1649900	 1537800	 1502100	 1890000	 2309800	 940530	 2116000	 2757800	 2484400	 1627100	 1772900	 2132700	 1918700	 2385000	 1845300	 1604000	 2015200	 2230100	 2365600	 2416200	 1342900	 2063500	 1571300	 1976200	 1545100	 1785500	 1016900	 1447100	 2399000	 2564700	 1246300	 2584700	 1498400	 1292300	 2251800	 1808100	 1775300	 1801900	 2641300	 1956700	 1090500	 2053100	 1948200	 1523800	 2612500	 2882500	 2475900	 1237300	 2341900	 2151500	 1720800	 2054600	 2462300	 1842500	 2969200	 2084900	 3354800	 2249000	 2112200	 2687600	 1579100	 2180400	 2235500	 1964200	 2337400	 2278500	 3028300	 2467300	 1182200	 1851500	 2275800	 1911500	 1487000	 2031300	 2611000	 3004700	 1636700	 1727100	 1142200
